energy, eV	Re eps	Im eps
4.974E-02	-1.713E+04	1.088E+04
5.165E-02	-1.625E+04	1.020E+04
5.356E-02	-1.543E+04	9.564E+03
5.548E-02	-1.471E+04	8.987E+03
5.739E-02	-1.403E+04	8.451E+03
5.930E-02	-1.338E+04	7.949E+03
6.121E-02	-1.279E+04	7.487E+03
6.313E-02	-1.226E+04	7.064E+03
6.504E-02	-1.173E+04	6.662E+03
6.696E-02	-1.126E+04	6.293E+03
6.887E-02	-1.081E+04	5.950E+03
7.078E-02	-1.040E+04	5.628E+03
7.269E-02	-9.985E+03	5.325E+03
7.461E-02	-9.619E+03	5.048E+03
7.652E-02	-9.261E+03	4.784E+03
7.843E-02	-8.925E+03	4.539E+03
8.035E-02	-8.607E+03	4.310E+03
8.226E-02	-8.306E+03	4.094E+03
8.417E-02	-8.020E+03	3.892E+03
8.608E-02	-7.749E+03	3.702E+03
8.800E-02	-7.492E+03	3.524E+03
8.991E-02	-7.246E+03	3.356E+03
9.183E-02	-7.010E+03	3.200E+03
9.374E-02	-6.788E+03	3.050E+03
9.565E-02	-6.575E+03	2.910E+03
9.756E-02	-6.372E+03	2.780E+03
9.947E-02	-6.176E+03	2.655E+03
1.014E-01	-5.990E+03	2.537E+03
1.033E-01	-5.813E+03	2.426E+03
1.052E-01	-5.641E+03	2.322E+03
1.071E-01	-5.479E+03	2.223E+03
1.090E-01	-5.321E+03	2.129E+03
1.110E-01	-5.172E+03	2.041E+03
1.129E-01	-5.028E+03	1.956E+03
1.148E-01	-4.888E+03	1.877E+03
1.167E-01	-4.756E+03	1.801E+03
1.186E-01	-4.628E+03	1.729E+03
1.205E-01	-4.504E+03	1.660E+03
1.224E-01	-4.386E+03	1.596E+03
1.243E-01	-4.273E+03	1.535E+03
1.263E-01	-4.163E+03	1.476E+03
1.282E-01	-4.058E+03	1.421E+03
1.301E-01	-3.956E+03	1.368E+03
1.320E-01	-3.857E+03	1.318E+03
1.339E-01	-3.762E+03	1.268E+03
1.358E-01	-3.671E+03	1.223E+03
1.377E-01	-3.583E+03	1.179E+03
1.396E-01	-3.498E+03	1.138E+03
1.416E-01	-3.415E+03	1.097E+03
1.435E-01	-3.335E+03	1.059E+03
1.454E-01	-3.259E+03	1.023E+03
1.473E-01	-3.184E+03	9.882E+02
1.492E-01	-3.113E+03	9.550E+02
1.511E-01	-3.043E+03	9.232E+02
1.530E-01	-2.976E+03	8.928E+02
1.550E-01	-2.911E+03	8.636E+02
1.569E-01	-2.847E+03	8.355E+02
1.588E-01	-2.786E+03	8.088E+02
1.607E-01	-2.726E+03	7.831E+02
1.626E-01	-2.669E+03	7.584E+02
1.645E-01	-2.614E+03	7.349E+02
1.664E-01	-2.560E+03	7.121E+02
1.683E-01	-2.507E+03	6.903E+02
1.703E-01	-2.456E+03	6.694E+02
1.722E-01	-2.406E+03	6.493E+02
1.741E-01	-2.359E+03	6.300E+02
1.760E-01	-2.313E+03	6.115E+02
1.779E-01	-2.267E+03	5.936E+02
1.798E-01	-2.223E+03	5.765E+02
1.817E-01	-2.180E+03	5.599E+02
1.836E-01	-2.138E+03	5.439E+02
1.856E-01	-2.098E+03	5.285E+02
1.875E-01	-2.059E+03	5.138E+02
1.894E-01	-2.021E+03	4.995E+02
1.913E-01	-1.983E+03	4.857E+02
1.932E-01	-1.948E+03	4.726E+02
1.951E-01	-1.912E+03	4.598E+02
1.970E-01	-1.877E+03	4.474E+02
1.990E-01	-1.844E+03	4.356E+02
2.009E-01	-1.812E+03	4.240E+02
2.028E-01	-1.780E+03	4.130E+02
2.047E-01	-1.749E+03	4.022E+02
2.066E-01	-1.719E+03	3.918E+02
2.085E-01	-1.689E+03	3.819E+02
2.104E-01	-1.660E+03	3.722E+02
2.123E-01	-1.633E+03	3.628E+02
2.143E-01	-1.606E+03	3.538E+02
2.162E-01	-1.579E+03	3.451E+02
2.181E-01	-1.553E+03	3.365E+02
2.200E-01	-1.527E+03	3.283E+02
2.219E-01	-1.503E+03	3.204E+02
2.238E-01	-1.478E+03	3.127E+02
2.257E-01	-1.455E+03	3.053E+02
2.276E-01	-1.432E+03	2.981E+02
2.296E-01	-1.409E+03	2.911E+02
2.315E-01	-1.387E+03	2.843E+02
2.334E-01	-1.365E+03	2.777E+02
2.353E-01	-1.344E+03	2.713E+02
2.372E-01	-1.324E+03	2.651E+02
2.391E-01	-1.304E+03	2.592E+02
2.410E-01	-1.284E+03	2.533E+02
2.429E-01	-1.265E+03	2.477E+02
2.449E-01	-1.246E+03	2.422E+02
2.468E-01	-1.228E+03	2.368E+02
2.487E-01	-1.210E+03	2.317E+02
2.506E-01	-1.193E+03	2.267E+02
2.525E-01	-1.175E+03	2.217E+02
2.544E-01	-1.158E+03	2.170E+02
2.563E-01	-1.142E+03	2.125E+02
2.583E-01	-1.125E+03	2.079E+02
2.602E-01	-1.110E+03	2.036E+02
2.621E-01	-1.095E+03	1.993E+02
2.640E-01	-1.079E+03	1.952E+02
2.659E-01	-1.064E+03	1.912E+02
2.678E-01	-1.050E+03	1.873E+02
2.697E-01	-1.035E+03	1.835E+02
2.716E-01	-1.021E+03	1.798E+02
2.736E-01	-1.007E+03	1.762E+02
2.755E-01	-9.943E+02	1.727E+02
2.774E-01	-9.812E+02	1.693E+02
2.793E-01	-9.683E+02	1.660E+02
2.812E-01	-9.554E+02	1.627E+02
2.831E-01	-9.432E+02	1.596E+02
2.850E-01	-9.304E+02	1.564E+02
2.869E-01	-9.184E+02	1.534E+02
2.889E-01	-9.070E+02	1.506E+02
2.908E-01	-8.952E+02	1.476E+02
2.927E-01	-8.839E+02	1.449E+02
2.946E-01	-8.728E+02	1.422E+02
2.965E-01	-8.623E+02	1.396E+02
2.984E-01	-8.513E+02	1.370E+02
3.003E-01	-8.409E+02	1.345E+02
3.023E-01	-8.306E+02	1.320E+02
3.042E-01	-8.203E+02	1.296E+02
3.061E-01	-8.107E+02	1.273E+02
3.080E-01	-8.006E+02	1.250E+02
3.099E-01	-7.911E+02	1.228E+02
3.118E-01	-7.816E+02	1.206E+02
3.137E-01	-7.722E+02	1.184E+02
3.156E-01	-7.634E+02	1.164E+02
3.176E-01	-7.541E+02	1.143E+02
3.195E-01	-7.455E+02	1.124E+02
3.214E-01	-7.368E+02	1.104E+02
3.233E-01	-7.282E+02	1.085E+02
3.252E-01	-7.202E+02	1.067E+02
3.271E-01	-7.117E+02	1.049E+02
3.290E-01	-7.038E+02	1.031E+02
3.310E-01	-6.959E+02	1.014E+02
3.329E-01	-6.881E+02	9.968E+01
3.348E-01	-6.803E+02	9.801E+01
3.367E-01	-6.726E+02	9.641E+01
3.386E-01	-6.654E+02	9.480E+01
3.405E-01	-6.582E+02	9.326E+01
3.424E-01	-6.506E+02	9.175E+01
3.443E-01	-6.435E+02	9.028E+01
3.463E-01	-6.365E+02	8.882E+01
3.482E-01	-6.300E+02	8.741E+01
3.501E-01	-6.230E+02	8.602E+01
3.520E-01	-6.166E+02	8.468E+01
3.539E-01	-6.097E+02	8.331E+01
3.558E-01	-6.034E+02	8.198E+01
3.577E-01	-5.970E+02	8.072E+01
3.596E-01	-5.907E+02	7.946E+01
3.616E-01	-5.850E+02	7.825E+01
3.635E-01	-5.787E+02	7.706E+01
3.654E-01	-5.730E+02	7.590E+01
3.673E-01	-5.668E+02	7.473E+01
3.692E-01	-5.612E+02	7.359E+01
3.711E-01	-5.556E+02	7.247E+01
3.730E-01	-5.499E+02	7.139E+01
3.749E-01	-5.444E+02	7.033E+01
3.769E-01	-5.388E+02	6.927E+01
3.788E-01	-5.333E+02	6.826E+01
3.807E-01	-5.282E+02	6.725E+01
3.826E-01	-5.232E+02	6.628E+01
3.845E-01	-5.178E+02	6.530E+01
3.864E-01	-5.128E+02	6.435E+01
3.883E-01	-5.079E+02	6.345E+01
3.903E-01	-5.030E+02	6.251E+01
3.922E-01	-4.981E+02	6.162E+01
3.941E-01	-4.932E+02	6.074E+01
3.960E-01	-4.888E+02	5.989E+01
3.979E-01	-4.840E+02	5.907E+01
3.998E-01	-4.792E+02	5.820E+01
4.017E-01	-4.748E+02	5.741E+01
4.036E-01	-4.705E+02	5.663E+01
4.056E-01	-4.662E+02	5.585E+01
4.075E-01	-4.615E+02	5.505E+01
4.094E-01	-4.572E+02	5.428E+01
4.113E-01	-4.530E+02	5.356E+01
4.132E-01	-4.492E+02	5.286E+01
4.151E-01	-4.450E+02	5.215E+01
4.170E-01	-4.408E+02	5.144E+01
4.189E-01	-4.370E+02	5.076E+01
4.209E-01	-4.329E+02	5.006E+01
4.228E-01	-4.291E+02	4.939E+01
4.247E-01	-4.250E+02	4.873E+01
4.266E-01	-4.213E+02	4.811E+01
4.285E-01	-4.177E+02	4.745E+01
4.304E-01	-4.140E+02	4.683E+01
4.323E-01	-4.104E+02	4.622E+01
4.343E-01	-4.068E+02	4.565E+01
4.362E-01	-4.032E+02	4.505E+01
4.381E-01	-3.996E+02	4.448E+01
4.400E-01	-3.964E+02	4.391E+01
4.419E-01	-3.928E+02	4.335E+01
4.438E-01	-3.893E+02	4.280E+01
4.457E-01	-3.861E+02	4.227E+01
4.476E-01	-3.830E+02	4.175E+01
4.496E-01	-3.795E+02	4.121E+01
4.515E-01	-3.764E+02	4.069E+01
4.534E-01	-3.733E+02	4.017E+01
4.553E-01	-3.703E+02	3.970E+01
4.572E-01	-3.668E+02	3.920E+01
4.591E-01	-3.638E+02	3.870E+01
4.610E-01	-3.611E+02	3.825E+01
4.629E-01	-3.581E+02	3.778E+01
4.649E-01	-3.551E+02	3.732E+01
4.668E-01	-3.521E+02	3.687E+01
4.687E-01	-3.491E+02	3.642E+01
4.706E-01	-3.465E+02	3.599E+01
4.725E-01	-3.436E+02	3.555E+01
4.744E-01	-3.410E+02	3.514E+01
4.763E-01	-3.380E+02	3.471E+01
4.782E-01	-3.355E+02	3.431E+01
4.802E-01	-3.326E+02	3.390E+01
4.821E-01	-3.300E+02	3.351E+01
4.840E-01	-3.275E+02	3.312E+01
4.859E-01	-3.250E+02	3.274E+01
4.878E-01	-3.225E+02	3.236E+01
4.897E-01	-3.200E+02	3.199E+01
4.916E-01	-3.175E+02	3.162E+01
4.935E-01	-3.150E+02	3.126E+01
4.955E-01	-3.125E+02	3.090E+01
4.974E-01	-3.101E+02	3.055E+01
4.993E-01	-3.076E+02	3.020E+01
5.012E-01	-3.052E+02	2.986E+01
5.031E-01	-3.031E+02	2.953E+01
5.050E-01	-3.007E+02	2.920E+01
5.069E-01	-2.982E+02	2.886E+01
5.089E-01	-2.962E+02	2.855E+01
5.108E-01	-2.938E+02	2.823E+01
5.127E-01	-2.917E+02	2.792E+01
5.146E-01	-2.894E+02	2.761E+01
5.184E-01	-2.853E+02	2.702E+01
5.203E-01	-2.830E+02	2.671E+01
5.223E-01	-2.809E+02	2.643E+01
5.242E-01	-2.789E+02	2.615E+01
5.261E-01	-2.770E+02	2.587E+01
5.280E-01	-2.750E+02	2.559E+01
5.299E-01	-2.730E+02	2.532E+01
5.337E-01	-2.690E+02	2.478E+01
5.356E-01	-2.671E+02	2.452E+01
5.375E-01	-2.651E+02	2.426E+01
5.395E-01	-2.632E+02	2.401E+01
5.433E-01	-2.596E+02	2.351E+01
5.452E-01	-2.577E+02	2.327E+01
5.471E-01	-2.558E+02	2.302E+01
5.490E-01	-2.539E+02	2.278E+01
5.529E-01	-2.504E+02	2.232E+01
5.548E-01	-2.488E+02	2.210E+01
